data,cota_obs_cm
2016-05-30,199.96491228070175
2016-05-31,197.45833333333334
2016-06-01,191.48958333333334
2016-06-02,191.0625
2016-06-03,187.76041666666666
2016-06-04,186.13541666666666
2016-06-05,185.41935483870967
2016-06-06,184.29166666666666
2016-06-07,183.28125
2016-06-08,182.0625
2016-06-09,181.8125
2016-06-10,181.16666666666666
2016-06-11,181.0
2016-06-12,180.33333333333334
2016-06-13,180.0
2016-06-14,179.81443298969072
2016-06-15,179.08333333333334
2016-06-16,179.0
2016-06-17,178.57291666666666
2016-06-18,180.11458333333334
2016-06-19,181.17708333333334
2016-06-20,181.57291666666666
2016-06-21,197.4375
2016-06-22,197.04166666666666
2016-06-23,189.78125
2016-06-24,184.71875
2016-06-25,182.34375
2016-06-26,181.04166666666666
2016-06-27,179.82291666666666
2016-06-28,179.11458333333334
2016-06-29,178.01030927835052
2016-06-30,178.17708333333334
2016-07-01,178.0
2016-07-02,177.07368421052632
2016-07-03,176.98958333333334
2016-07-04,176.01041666666666
2016-07-05,176.0
2016-07-06,179.29166666666666
2016-07-07,183.1875
2016-07-08,176.9375
2016-07-09,176.0
2016-07-10,175.03125
2016-07-11,174.375
2016-07-12,174.01041666666666
2016-07-13,224.38541666666666
2016-07-14,208.56701030927834
2016-07-15,189.04166666666666
2016-07-16,194.71875
2016-07-17,186.9375
2016-07-18,183.42708333333334
2016-07-19,182.33333333333334
2016-07-20,181.39583333333334
2016-07-21,180.5625
2016-07-22,180.0
2016-07-23,180.0
2016-07-24,179.39583333333334
2016-07-25,178.6875
2016-07-26,178.45833333333334
2016-07-27,178.0
2016-07-28,178.01041666666666
2016-07-29,177.8659793814433
2016-07-30,177.21875
2016-07-31,177.0
2016-08-01,176.125
2016-08-02,176.0
2016-08-03,175.88541666666666
2016-08-04,175.125
2016-08-05,175.0
2016-08-06,174.6875
2016-08-07,174.48958333333334
2016-08-08,182.57291666666666
2016-08-09,193.86458333333334
2016-08-10,180.28125
2016-08-11,177.23958333333334
2016-08-12,176.09375
2016-08-13,175.81443298969072
2016-08-14,175.20833333333334
2016-08-15,181.44791666666666
2016-08-16,197.47916666666666
2016-08-17,180.73958333333334
2016-08-18,185.91666666666666
2016-08-19,229.40625
2016-08-20,247.44791666666666
2016-08-21,292.16483516483515
2016-08-22,232.03488372093022
2016-08-23,217.8876404494382
2016-08-24,210.51041666666666
2016-08-25,207.29166666666666
2016-08-26,205.28125
2016-08-27,203.35416666666666
2016-08-28,202.57731958762886
2016-08-29,206.1875
2016-08-30,213.11458333333334
2016-08-31,210.875
2016-09-01,205.33333333333334
2016-09-02,202.9375
2016-09-03,201.97916666666666
2016-09-04,202.23958333333334
2016-09-05,204.875
2016-09-06,231.97916666666666
2016-09-07,212.8125
2016-09-08,206.98958333333334
2016-09-09,204.36458333333334
2016-09-10,202.60416666666666
2016-09-11,201.44791666666666
2016-09-12,200.04123711340208
2016-09-13,199.28125
2016-09-14,199.53125
2016-09-15,198.02083333333334
2016-09-16,197.02083333333334
2016-09-17,196.80208333333334
2016-09-18,196.13186813186815
2016-09-19,199.85416666666666
2016-09-20,196.59375
2016-09-21,194.89583333333334
2016-09-22,194.01041666666666
2016-09-23,193.42708333333334
2016-09-24,192.6875
2016-09-25,192.0
2016-09-26,191.03125
2016-09-27,190.5257731958763
2016-09-28,189.8125
2016-09-29,188.85416666666666
2016-09-30,188.13541666666666
2016-10-01,188.625
2016-10-02,187.88541666666666
2016-10-03,194.25
2016-10-04,195.9578947368421
2016-10-05,189.13541666666666
2016-10-06,189.03125
2016-10-07,187.01041666666666
2016-10-08,185.95833333333334
2016-10-09,184.89583333333334
2016-10-10,183.25
2016-10-11,183.04166666666666
2016-10-12,195.70103092783506
2016-10-13,216.80208333333334
2016-10-14,236.09375
2016-10-15,202.35416666666666
2016-10-16,196.0
2016-10-17,191.05208333333334
2016-10-18,188.58333333333334
2016-10-19,188.91666666666666
2016-10-20,188.5625
2016-10-21,188.3125
2016-10-22,184.94791666666666
2016-10-23,184.11458333333334
2016-10-24,182.875
2016-10-25,208.34375
2016-10-26,224.625
2016-10-27,253.94845360824743
2016-10-28,214.9891304347826
2016-10-29,205.73958333333334
2016-10-30,202.625
2016-10-31,200.80208333333334
2016-11-01,199.35416666666666
2016-11-02,222.47916666666666
2016-11-03,241.11458333333334
2016-11-04,212.26041666666666
2016-11-05,207.83333333333334
2016-11-06,205.81967213114754
2016-11-07,204.74666666666667
2016-11-08,204.17333333333335
2016-11-09,204.23376623376623
2016-11-10,204.29508196721312
2016-11-11,219.8909090909091
2016-11-12,223.16666666666666
2016-11-13,207.9375
2016-11-14,205.8505747126437
2016-11-15,204.15116279069767
2016-11-16,203.75
2016-11-17,202.86170212765958
2016-11-18,201.10526315789474
2016-11-19,200.41666666666666
2016-11-20,200.0
2016-11-21,198.90625
2016-11-22,198.0
2016-11-23,197.23958333333334
2016-11-24,196.33333333333334
2016-11-25,207.0
2016-11-26,227.66265060240963
2016-11-27,203.53125
2016-11-28,229.90526315789472
2016-11-29,215.27692307692308
2016-11-30,204.45833333333334
2016-12-01,200.40425531914894
2016-12-02,198.0
2016-12-03,208.75
2016-12-04,213.875
2016-12-05,200.91666666666666
2016-12-06,199.14583333333334
2016-12-07,205.69791666666666
2016-12-08,198.41666666666666
2016-12-09,197.59375
2016-12-10,204.41666666666666
2016-12-11,212.23958333333334
2016-12-12,228.79166666666666
2016-12-13,205.5
2016-12-14,199.42708333333334
2016-12-15,195.90625
2016-12-16,194.3125
2016-12-17,192.875
2016-12-18,192.47916666666666
2016-12-19,207.0
2016-12-20,215.20833333333334
2016-12-21,202.48958333333334
2016-12-22,196.08333333333334
2016-12-23,194.14583333333334
2016-12-24,197.05208333333334
2016-12-25,191.85416666666666
2016-12-26,190.24742268041237
2016-12-27,188.78125
2016-12-28,190.58333333333334
2016-12-29,194.70833333333334
2016-12-30,191.0625
2016-12-31,188.57291666666666
2017-01-01,187.7159090909091
2017-01-02,188.28125
2017-01-03,186.14583333333334
2017-01-04,184.0
2017-01-05,189.42708333333334
2017-01-06,203.71875
2017-01-07,207.3125
2017-01-08,190.44791666666666
2017-01-09,186.23958333333334
2017-01-10,187.50515463917526
2017-01-11,185.89583333333334
2017-01-12,183.92307692307693
2017-01-13,181.61458333333334
2017-01-14,179.91666666666666
2017-01-15,179.01041666666666
2017-01-16,178.25
2017-01-17,178.33333333333334
2017-01-18,177.11458333333334
2017-01-19,175.34375
2017-01-20,178.14583333333334
2017-01-21,174.07291666666666
2017-01-22,176.41666666666666
2017-01-23,173.84375
2017-01-24,172.08333333333334
2017-01-25,175.83505154639175
2017-01-26,177.95833333333334
2017-01-27,173.95833333333334
2017-01-28,171.60416666666666
2017-01-29,173.08333333333334
2017-01-30,171.17708333333334
2017-01-31,170.23958333333334
2017-02-01,175.21875
2017-02-02,185.29473684210527
2017-02-03,192.22340425531914
2017-02-04,174.59375
2017-02-05,172.40860215053763
2017-02-06,185.52631578947367
2017-02-07,186.12
2017-02-08,336.0
2017-02-09,170.6969696969697
2017-02-10,168.94791666666666
2017-02-11,176.65625
2017-02-12,185.96341463414635
2017-02-13,186.01052631578946
2017-02-14,218.07291666666666
2017-02-15,229.92708333333334
2017-02-16,192.0
2017-02-17,185.17708333333334
2017-02-18,179.83333333333334
2017-02-19,177.76041666666666
2017-02-20,178.95833333333334
2017-02-21,178.14583333333334
2017-02-22,175.0744680851064
2017-02-23,189.20833333333334
2017-02-24,192.6421052631579
2017-02-25,183.26041666666666
2017-02-26,201.39583333333334
2017-02-27,183.70833333333334
2017-02-28,180.22916666666666
2017-03-01,182.34375
2017-03-02,198.04166666666666
2017-03-03,184.42708333333334
2017-03-04,198.94791666666666
2017-03-05,194.03125
2017-03-06,205.48958333333334
2017-03-07,188.36458333333334
2017-03-08,185.03125
2017-03-09,182.83333333333334
2017-03-10,181.61458333333334
2017-03-11,180.48453608247422
2017-03-12,182.60416666666666
2017-03-13,188.20833333333334
2017-03-14,181.83333333333334
2017-03-15,180.58333333333334
2017-03-16,194.33333333333334
2017-03-17,221.44444444444446
2017-03-18,193.55789473684212
2017-03-19,198.08510638297872
2017-03-20,190.1875
2017-03-21,187.60416666666666
2017-03-22,185.91666666666666
2017-03-23,185.0
2017-03-24,184.375
2017-03-25,184.07291666666666
2017-03-26,192.28865979381445
2017-03-27,187.29166666666666
2017-03-28,184.94791666666666
2017-03-29,183.94791666666666
2017-03-30,183.05208333333334
2017-03-31,182.46875
2017-04-01,182.10416666666666
2017-04-02,182.0
2017-04-03,181.5625
2017-04-04,181.3125
2017-04-05,185.40625
2017-04-06,200.54285714285714
2017-04-07,187.8125
2017-04-08,176.0
2017-04-09,
2017-04-10,183.0
2017-04-11,182.08333333333334
2017-04-12,182.0
2017-04-13,181.47916666666666
2017-04-14,181.02083333333334
2017-04-15,180.0
2017-04-16,205.41666666666666
2017-04-17,211.48958333333334
2017-04-18,189.70833333333334
2017-04-19,185.85416666666666
2017-04-20,192.60416666666666
2017-04-21,216.45833333333334
2017-04-22,195.86458333333334
2017-04-23,189.84375
2017-04-24,187.16666666666666
2017-04-25,185.98969072164948
2017-04-26,219.01041666666666
2017-04-27,220.40625
2017-04-28,197.1875
2017-04-29,193.25
2017-04-30,190.86458333333334
2017-05-01,189.88541666666666
2017-05-02,188.9255319148936
2017-05-03,188.0
2017-05-04,200.92708333333334
2017-05-05,196.0326086956522
2017-05-06,193.75
2017-05-07,190.16666666666666
2017-05-08,188.23958333333334
2017-05-09,190.15625
2017-05-10,188.83505154639175
2017-05-11,187.02083333333334
2017-05-12,186.03125
2017-05-13,186.26041666666666
2017-05-14,203.73958333333334
2017-05-15,190.72916666666666
2017-05-16,187.4375
2017-05-17,186.02083333333334
2017-05-18,186.76041666666666
2017-05-19,248.26041666666666
2017-05-20,268.78125
2017-05-21,214.47916666666666
2017-05-22,206.52083333333334
2017-05-23,201.97916666666666
2017-05-24,199.58333333333334
2017-05-25,197.74736842105264
2017-05-26,196.90625
2017-05-27,201.29166666666666
2017-05-28,199.72916666666666
2017-05-29,198.73958333333334
2017-05-30,197.1875
2017-05-31,198.73958333333334
2017-06-01,208.66666666666666
2017-06-02,200.95833333333334
2017-06-03,198.25
2017-06-04,197.875
2017-06-05,221.28125
2017-06-06,217.57291666666666
2017-06-07,227.54166666666666
2017-06-08,214.875
2017-06-09,223.71134020618555
2017-06-10,211.26041666666666
2017-06-11,208.11458333333334
2017-06-12,205.94791666666666
2017-06-13,205.02083333333334
2017-06-14,204.79166666666666
2017-06-15,204.0
2017-06-16,203.8125
2017-06-17,204.05494505494505
2017-06-18,215.07692307692307
2017-06-19,204.8095238095238
2017-06-20,200.33333333333334
2017-06-21,198.89583333333334
2017-06-22,198.01041666666666
2017-06-23,197.84375
2017-06-24,197.2680412371134
2017-06-25,197.05208333333334
2017-06-26,196.05208333333334
2017-06-27,195.375
2017-06-28,194.94791666666666
2017-06-29,194.16666666666666
2017-06-30,194.0
2017-07-01,193.64583333333334
2017-07-02,193.04166666666666
2017-07-03,192.20833333333334
2017-07-04,191.32291666666666
2017-07-05,190.54166666666666
2017-07-06,190.10416666666666
2017-07-07,189.34375
2017-07-08,188.85416666666666
2017-07-09,188.0
2017-07-10,187.89583333333334
2017-07-11,187.125
2017-07-12,186.08333333333334
2017-07-13,185.0625
2017-07-14,184.57291666666666
2017-07-15,183.95833333333334
