data,q_m3s
1931-01-13,87.5872
1931-01-14,86.9789
1931-01-15,88.1962
1931-01-16,99.2866
1931-01-17,109.973
1931-01-18,116.992
1931-01-19,106.179
1931-01-20,104.291
1931-01-21,118.276
1931-01-22,134.542
1931-01-23,137.841
1931-01-24,141.153
1931-01-25,141.153
1931-01-26,139.164
1931-01-27,131.259
1931-01-28,126.036
1931-01-29,120.853
1931-01-30,115.07
1931-01-31,111.88
1931-02-01,108.706
1931-02-02,95.5633
1931-02-03,91.8663
1931-02-04,76.1665
1931-02-05,72.6219
1931-02-06,82.1411
1931-02-07,113.154
1931-02-08,133.885
1931-02-09,139.827
1931-02-10,138.502
1931-02-11,131.259
1931-02-12,131.259
1931-02-13,123.44
1931-02-14,122.145
1931-02-15,108.706
1931-02-16,106.81
1931-02-17,103.036
1931-02-18,94.328
1931-02-19,91.8663
1931-02-20,86.9789
1931-02-21,84.5537
1931-02-22,79.1435
1931-02-23,76.1665
1931-02-24,72.0341
1931-02-25,71.4472
1931-02-26,71.4472
1931-02-27,69.1085
1931-02-28,77.9502
1931-03-01,86.9789
1931-03-02,90.0278
1931-03-03,86.9789
1931-03-04,85.7648
1931-03-05,78.5465
1931-03-06,73.8
1931-03-07,77.9502
1931-03-08,77.9502
1931-03-09,99.2866
1931-03-10,105.549
1931-03-11,111.243
1931-03-12,110.608
1931-03-13,105.549
1931-03-14,102.409
1931-03-15,93.7115
1931-03-16,90.0278
1931-03-17,83.9494
1931-03-18,77.9502
1931-03-19,74.9815
1931-03-20,72.0341
1931-03-21,70.8612
1931-03-22,69.1085
1931-03-23,66.2054
1931-03-24,66.2054
1931-03-25,63.8994
1931-03-26,61.6085
1931-03-27,52.049
1931-03-28,49.2949
1931-03-29,46.5686
1931-03-30,43.8711
1931-03-31,41.7346
1931-04-01,41.2035
1931-04-02,38.5671
1931-04-03,36.4813
1931-04-04,35.9632
1931-04-05,35.9632
1931-04-06,33.3932
1931-04-07,32.8834
1931-04-08,33.3932
1931-04-09,31.8681
1931-04-10,30.8588
1931-04-11,30.3563
1931-04-12,30.3563
1931-04-13,30.8588
1931-04-14,31.8681
1931-04-15,32.8834
1931-04-16,30.8588
1931-04-17,28.3618
1931-04-18,40.6737
1931-04-19,38.5671
1931-04-20,37.0008
1931-04-21,33.9044
1931-04-22,33.3932
1931-04-23,36.4813
1931-04-24,37.0008
1931-04-25,38.0437
1931-04-26,38.0437
1931-04-27,40.1452
1931-04-28,45.4861
1931-04-29,49.2949
1931-04-30,56.5109
1931-05-01,70.2761
1931-05-02,116.992
1931-05-03,124.737
1931-05-04,143.814
1931-05-05,147.821
1931-05-06,147.821
1931-05-07,124.737
1931-05-08,105.549
1931-05-09,93.0957
1931-05-10,90.0278
1931-05-11,86.9789
1931-05-12,80.9397
1931-05-13,79.7414
1931-05-14,80.9397
1931-05-15,83.9494
1931-05-16,86.9789
1931-05-17,93.0957
1931-05-18,99.2866
1931-05-19,111.88
1931-05-20,134.542
1931-05-21,143.148
1931-05-22,148.491
1931-05-23,144.48
1931-05-24,141.153
1931-05-25,131.259
1931-05-26,111.88
1931-05-27,99.2866
1931-05-28,96.1821
1931-05-29,93.0957
1931-05-30,91.8663
1931-05-31,83.9494
1931-06-01,85.7648
1931-06-02,89.4165
1931-06-03,86.9789
1931-06-04,90.0278
1931-06-05,86.9789
1931-06-06,84.5537
1931-06-07,80.9397
1931-06-08,78.5465
1931-06-09,105.549
1931-06-10,115.07
1931-06-11,124.737
1931-06-12,168.15
1931-06-13,178.489
1931-06-14,185.444
1931-06-15,192.446
1931-06-16,199.495
1931-06-17,206.58900000000003
1931-06-18,210.153
1931-06-19,213.729
1931-06-20,212.297
1931-06-21,210.153
1931-06-22,206.58900000000003
1931-06-23,203.036
1931-06-24,199.495
1931-06-25,192.446
1931-06-26,191.042
1931-06-27,188.939
1931-06-28,185.444
1931-06-29,181.96
1931-06-30,178.489
1931-07-01,172.96099999999996
1931-07-02,171.584
1931-07-03,168.15
1931-07-04,164.729
1931-07-05,151.17600000000004
1931-07-06,137.841
1931-07-07,131.259
1931-07-08,127.99
1931-07-09,131.259
1931-07-10,134.542
1931-07-11,137.841
1931-07-12,141.153
1931-07-13,134.542
1931-07-14,134.542
1931-07-15,133.227
1931-07-16,131.259
1931-07-17,129.95
1931-07-18,127.99
1931-07-19,124.737
1931-07-20,124.737
1931-07-21,123.44
1931-07-22,121.499
1931-07-23,118.276
1931-07-24,108.706
1931-07-25,99.2866
1931-07-26,93.0957
1931-07-27,90.6399
1931-07-28,83.9494
1931-07-29,93.0957
1931-07-30,102.409
1931-07-31,105.549
1931-08-01,108.706
1931-08-02,105.549
1931-08-03,102.409
1931-08-04,99.2866
1931-08-05,96.1821
1931-08-06,93.0957
1931-08-07,91.8663
1931-08-08,91.8663
1931-08-09,93.0957
1931-08-10,94.328
1931-08-11,93.0957
1931-08-12,91.8663
1931-08-13,79.7414
1931-08-14,77.9502
1931-08-15,72.0341
1931-08-16,69.1085
1931-08-17,66.2054
1931-08-18,63.3252
1931-08-19,62.752
1931-08-20,60.4688
1931-08-21,56.5109
1931-08-22,49.2949
1931-08-23,47.6557
1931-08-24,44.4082
1931-08-25,43.3352
1931-08-26,41.2035
1931-08-27,41.2035
1931-08-28,43.8711
1931-08-29,49.2949
1931-08-30,66.2054
1931-08-31,70.2761
1931-09-01,73.8
1931-09-02,80.9397
1931-09-03,86.9789
1931-09-04,90.0278
1931-09-05,77.9502
1931-09-06,74.9815
1931-09-07,67.9445
1931-09-08,66.7842
1931-09-09,64.4745
1931-09-10,63.3252
1931-09-11,66.2054
1931-09-12,72.0341
1931-09-13,105.549
1931-09-14,118.276
1931-09-15,124.737
1931-09-16,127.99
1931-09-17,134.542
1931-09-18,137.841
1931-09-19,151.17600000000004
1931-09-20,171.584
1931-09-21,188.939
1931-09-22,195.96400000000003
1931-09-23,203.036
1931-09-24,206.58900000000003
1931-09-25,206.58900000000003
1931-09-26,205.167
1931-09-27,203.036
1931-09-28,202.327
1931-09-29,199.495
1931-09-30,195.96400000000003
1931-10-01,193.852
1931-10-02,192.446
1931-10-03,191.042
1931-10-04,188.939
1931-10-05,185.444
1931-10-06,184.049
1931-10-07,181.96
1931-10-08,175.03099999999995
1931-10-09,171.584
1931-10-10,168.15
1931-10-11,171.584
1931-10-12,175.03099999999995
1931-10-13,178.489
1931-10-14,179.87599999999995
1931-10-15,181.96
1931-10-16,178.489
1931-10-17,175.03099999999995
1931-10-18,175.03099999999995
1931-10-19,168.15
1931-10-20,164.729
1931-10-21,163.365
1931-10-22,160.641
1931-10-23,157.92600000000004
1931-10-24,151.17600000000004
1931-10-25,147.821
1931-10-26,144.48
1931-10-27,141.153
1931-10-28,134.542
1931-10-29,127.99
1931-10-30,123.44
1931-10-31,116.992
1931-11-01,111.88
1931-11-02,109.339
1931-11-03,105.549
1931-11-04,102.409
1931-11-05,99.2866
1931-11-06,99.2866
1931-11-07,100.534
1931-11-08,102.409
1931-11-09,104.291
1931-11-10,105.549
1931-11-11,109.339
1931-11-12,111.88
1931-11-13,113.792
1931-11-14,108.706
1931-11-15,99.2866
1931-11-16,95.5633
1931-11-17,90.6399
1931-11-18,86.9789
1931-11-19,80.9397
1931-11-20,76.1665
1931-11-21,73.2105
1931-11-22,75.5736
1931-11-23,72.6219
1931-11-24,71.4472
1931-11-25,68.5261
1931-11-26,65.6275
1931-11-27,66.2054
1931-11-28,68.5261
1931-11-29,72.6219
1931-11-30,74.9815
1931-12-01,72.0341
1931-12-02,70.8612
1931-12-03,80.9397
1931-12-04,115.71
1931-12-05,140.49
1931-12-06,172.96099999999996
1931-12-07,186.142
1931-12-08,194.556
1931-12-09,199.495
1931-12-10,211.582
1931-12-11,218.033
1931-12-12,225.965
1931-12-13,238.324
1931-12-14,241.25
1931-12-15,233.949
1931-12-16,227.413
1931-12-17,219.472
1931-12-18,211.582
1931-12-19,202.327
1931-12-20,194.556
1931-12-21,174.34
1931-12-22,153.87
1931-12-23,120.208
1931-12-24,104.92
1931-12-25,96.8016
1931-12-26,112.516
1931-12-27,120.853
1931-12-28,123.44
1931-12-29,124.737
1931-12-30,131.914
1931-12-31,149.161
1932-01-01,164.047
1932-01-02,172.96099999999996
1932-01-03,184.049
1932-01-04,188.239
1932-01-05,191.042
1932-01-06,192.446
1932-01-07,193.852
1932-01-08,193.852
1932-01-09,192.446
1932-01-10,189.639
1932-01-11,184.049
1932-01-12,169.52200000000005
1932-01-13,161.321
1932-01-14,155.895
1932-01-15,145.815
1932-01-16,138.502
1932-01-17,127.338
1932-01-18,118.92
1932-01-19,108.073
1932-01-20,103.036
1932-01-21,100.534
1932-01-22,98.6643
1932-01-23,94.9453
1932-01-24,92.4806
1932-01-25,91.8663
1932-01-26,90.0278
1932-01-27,92.4806
1932-01-28,98.0427
1932-01-29,101.783
1932-01-30,102.409
1932-01-31,99.9097
1932-02-01,106.179
1932-02-02,112.516
1932-02-03,120.853
1932-02-04,126.036
1932-02-05,130.60399999999998
1932-02-06,135.201
1932-02-07,137.841
1932-02-08,146.483
1932-02-09,156.572
1932-02-10,163.365
1932-02-11,159.283
1932-02-12,167.465
1932-02-13,164.729
1932-02-14,159.96200000000005
1932-02-15,155.895
1932-02-16,152.52200000000005
1932-02-17,149.161
1932-02-18,145.815
1932-02-19,143.148
1932-02-20,139.827
1932-02-21,136.52
1932-02-22,133.227
1932-02-23,131.259
1932-02-24,128.643
1932-02-25,124.737
1932-02-26,123.44
1932-02-27,122.145
1932-02-28,119.563
1932-02-29,116.992
1932-03-01,118.276
