data,cota_obs_cm
2012-10-16,52.0
2012-10-17,50.0
2012-10-18,47.0
2012-10-19,45.0
2012-10-20,45.0
2012-10-21,47.0
2012-10-22,46.0
2012-10-23,108.0
2012-10-24,121.0
2012-10-25,113.0
2012-10-26,117.0
2012-10-27,129.0
2012-10-28,116.0
2012-10-29,115.0
2012-10-30,91.0
2012-10-31,65.0
2012-11-01,125.0
2012-11-02,105.0
2012-11-03,99.0
2012-11-04,74.0
2012-11-05,68.0
2012-11-06,62.0
2012-11-07,59.0
2012-11-08,55.0
2012-11-09,58.0
2012-11-10,99.0
2012-11-11,110.0
2012-11-12,115.0
2012-11-13,140.0
2012-11-14,151.0
2012-11-15,135.0
2012-11-16,119.0
2012-11-17,95.0
2012-11-18,77.0
2012-11-19,69.0
2012-11-20,64.0
2012-11-21,60.0
2012-11-22,59.0
2012-11-23,56.0
2012-11-24,67.0
2012-11-25,80.0
2012-11-26,76.0
2012-11-27,70.0
2012-11-28,69.0
2012-11-29,69.0
2012-11-30,66.0
2012-12-01,59.0
2012-12-02,79.0
2012-12-03,112.0
2012-12-04,99.0
2012-12-05,93.0
2012-12-06,87.0
2012-12-07,81.0
2012-12-08,71.0
2012-12-09,84.0
2012-12-10,71.0
2012-12-11,64.0
2012-12-12,61.0
2012-12-13,59.0
2012-12-14,56.0
2012-12-15,60.0
2012-12-16,69.0
2012-12-17,66.0
2012-12-18,83.0
2012-12-19,61.0
2012-12-20,79.0
2012-12-21,66.0
2012-12-22,117.0
2012-12-23,98.0
2012-12-24,92.0
2012-12-25,87.0
2012-12-26,81.0
2012-12-27,58.0
2012-12-28,67.0
2012-12-29,66.0
2012-12-30,204.0
2012-12-31,180.0
2013-01-01,180.0
2013-01-02,188.0
2013-01-03,158.0
2013-01-04,143.0
2013-01-05,113.0
2013-01-06,103.0
2013-01-07,99.0
2013-01-08,86.0
2013-01-09,76.0
2013-01-10,85.0
2013-01-11,97.0
2013-01-12,102.0
2013-01-13,99.0
2013-01-14,86.0
2013-01-15,79.0
2013-01-16,83.0
2013-01-17,82.0
2013-01-18,76.0
2013-01-19,85.0
2013-01-20,89.0
2013-01-21,85.0
2013-01-22,81.0
2013-01-23,76.0
2013-01-24,76.0
2013-01-25,70.0
2013-01-26,67.0
2013-01-27,61.0
2013-01-28,61.0
2013-01-29,63.0
2013-01-30,65.0
2013-01-31,60.0
2013-02-01,59.0
2013-02-02,59.0
2013-02-03,107.0
2013-02-04,101.0
2013-02-05,94.0
2013-02-06,91.0
2013-02-07,96.0
2013-02-08,96.0
2013-02-09,94.0
2013-02-10,102.0
2013-02-11,111.0
2013-02-12,112.0
2013-02-13,105.0
2013-02-14,100.0
2013-02-15,97.0
2013-02-16,95.0
2013-02-17,90.0
2013-02-18,162.0
2013-02-19,206.0
2013-02-20,222.0
2013-02-21,208.0
2013-02-22,201.0
2013-02-23,177.0
2013-02-24,149.0
2013-02-25,142.0
2013-02-26,125.0
2013-02-27,111.0
2013-02-28,93.0
2013-03-01,98.0
2013-03-02,95.0
2013-03-03,89.0
2013-03-04,77.0
2013-03-05,76.0
2013-03-06,84.0
2013-03-07,119.0
2013-03-08,116.0
2013-03-09,116.0
2013-03-10,120.0
2013-03-11,120.0
2013-03-12,137.0
2013-03-13,177.0
2013-03-14,175.0
2013-03-15,164.0
2013-03-16,169.0
2013-03-17,224.0
2013-03-18,210.0
2013-03-19,210.0
2013-03-20,185.0
2013-03-21,162.0
2013-03-22,159.0
2013-03-23,147.0
2013-03-24,158.0
2013-03-25,155.0
2013-03-26,143.0
2013-03-27,132.0
2013-03-28,130.0
2013-03-29,130.0
2013-03-30,124.0
2013-03-31,118.0
2013-04-01,107.0
2013-04-02,103.0
2013-04-03,103.0
2013-04-04,99.0
2013-04-05,117.0
2013-04-06,109.0
2013-04-07,103.0
2013-04-08,101.0
2013-04-09,100.0
2013-04-10,97.0
2013-04-11,93.0
2013-04-12,84.0
2013-04-13,106.0
2013-04-14,100.0
2013-04-15,97.0
2013-04-16,91.0
2013-04-17,90.0
2013-04-18,84.0
2013-04-19,75.0
2013-04-20,74.0
2013-04-21,72.0
2013-04-22,70.0
2013-04-23,69.0
2013-04-24,69.0
2013-04-25,68.0
2013-04-26,68.0
2013-04-27,68.0
2013-04-28,65.0
2013-04-29,64.0
2013-04-30,63.0
2013-05-01,62.0
2013-05-02,62.0
2013-05-03,61.0
2013-05-04,60.0
2013-05-05,59.0
2013-05-06,76.0
2013-05-07,86.0
2013-05-08,93.0
2013-05-09,78.0
2013-05-10,66.0
2013-05-11,62.0
2013-05-12,60.0
2013-05-13,60.0
2013-05-14,60.0
2013-05-15,59.0
2013-05-16,58.0
2013-05-17,63.0
2013-05-18,67.0
2013-05-19,68.0
2013-05-20,65.0
2013-05-21,64.0
2013-05-22,66.0
2013-05-23,66.0
2013-05-24,69.0
2013-05-25,67.0
2013-05-26,63.0
2013-05-27,66.0
2013-05-28,92.0
2013-05-29,102.0
2013-05-30,101.0
2013-05-31,91.0
2013-06-01,73.0
2013-06-02,119.0
2013-06-03,113.0
2013-06-04,109.0
2013-06-05,102.0
2013-06-06,77.0
2013-06-07,70.0
2013-06-08,68.0
2013-06-09,64.0
2013-06-10,62.0
2013-06-11,59.0
2013-06-12,60.0
2013-06-13,59.0
2013-06-14,59.0
2013-06-15,59.0
2013-06-16,62.0
2013-06-17,112.0
2013-06-18,104.0
2013-06-19,105.0
2013-06-20,120.0
2013-06-21,242.0
2013-06-22,255.0
2013-06-23,266.0
2013-06-24,237.0
2013-06-25,218.0
2013-06-26,192.0
2013-06-27,180.0
2013-06-28,170.0
2013-06-29,155.0
2013-06-30,150.0
2013-07-01,152.0
2013-07-02,140.0
2013-07-03,133.0
2013-07-04,130.0
2013-07-05,114.0
2013-07-06,110.0
2013-07-07,103.0
2013-07-08,97.0
2013-07-09,94.0
2013-07-10,93.0
2013-07-11,94.0
2013-07-12,95.0
2013-07-13,90.0
2013-07-14,85.0
2013-07-15,84.0
2013-07-16,82.0
2013-07-17,81.0
2013-07-18,79.0
2013-07-19,82.0
2013-07-20,95.0
2013-07-21,190.0
2013-07-22,230.0
2013-07-23,248.0
2013-07-24,235.0
2013-07-25,199.0
2013-07-26,169.0
2013-07-27,150.0
2013-07-28,134.0
2013-07-29,124.0
2013-07-30,113.0
2013-07-31,104.0
2013-08-01,98.0
2013-08-02,94.0
2013-08-03,92.0
2013-08-04,90.0
2013-08-05,90.0
2013-08-06,89.0
2013-08-07,89.0
2013-08-08,87.0
2013-08-09,83.0
2013-08-10,81.0
2013-08-11,81.0
2013-08-12,79.0
2013-08-13,78.0
2013-08-14,83.0
2013-08-15,88.0
2013-08-16,91.0
2013-08-17,83.0
2013-08-18,84.0
2013-08-19,85.0
2013-08-20,83.0
2013-08-21,80.0
2013-08-22,77.0
2013-08-23,73.0
2013-08-24,72.0
2013-08-25,72.0
2013-08-26,74.0
2013-08-27,87.0
2013-08-28,91.0
2013-08-29,83.0
2013-08-30,76.0
2013-08-31,74.0
2013-09-01,71.0
2013-09-02,72.0
2013-09-03,71.0
2013-09-04,76.0
2013-09-05,73.0
2013-09-06,71.0
2013-09-07,70.0
2013-09-08,70.0
2013-09-09,68.0
2013-09-10,66.0
2013-09-11,64.0
2013-09-12,62.0
2013-09-13,61.0
2013-09-14,60.0
2013-09-15,60.0
2013-09-16,61.0
2013-09-17,108.0
2013-09-18,114.0
2013-09-19,113.0
2013-09-20,114.0
2013-09-21,96.0
2013-09-22,169.0
2013-09-23,199.0
2013-09-24,223.0
2013-09-25,199.0
2013-09-26,166.0
2013-09-27,145.0
2013-09-28,105.0
2013-09-29,94.0
2013-09-30,92.0
2013-10-01,88.0
2013-10-02,118.0
2013-10-03,121.0
2013-10-04,164.0
2013-10-05,150.0
2013-10-06,148.0
2013-10-07,139.0
2013-10-08,136.0
2013-10-09,107.0
2013-10-10,97.0
2013-10-11,88.0
2013-10-12,84.0
2013-10-13,81.0
2013-10-14,79.0
2013-10-15,89.0
2013-10-16,91.0
2013-10-17,100.0
2013-10-18,98.0
2013-10-19,98.0
2013-10-20,87.0
2013-10-21,79.0
2013-10-22,79.0
2013-10-23,76.0
2013-10-24,79.0
2013-10-25,81.0
2013-10-26,80.0
2013-10-27,84.0
2013-10-28,85.0
2013-10-29,84.0
2013-10-30,76.0
2013-10-31,73.0
2013-11-01,71.0
2013-11-02,71.0
2013-11-03,83.0
2013-11-04,91.0
2013-11-05,89.0
2013-11-06,87.0
2013-11-07,84.0
2013-11-08,85.0
2013-11-09,86.0
2013-11-10,85.0
2013-11-11,82.0
2013-11-12,75.0
2013-11-13,71.0
2013-11-14,68.0
2013-11-15,66.0
2013-11-16,65.0
2013-11-17,81.0
2013-11-18,79.0
2013-11-19,77.0
2013-11-20,74.0
2013-11-21,71.0
2013-11-22,68.0
2013-11-23,67.0
2013-11-24,67.0
2013-11-25,69.0
2013-11-26,80.0
2013-11-27,94.0
2013-11-28,109.0
2013-11-29,133.0
2013-11-30,135.0
2013-12-01,125.0
2013-12-02,112.0
2013-12-03,98.0
2013-12-04,88.0
2013-12-05,85.0
2013-12-06,85.0
2013-12-07,83.0
2013-12-08,84.0
2013-12-09,83.0
